Atomic_Number,Symbol,Element_Name,Mass_Excess_keV,Mass_Uncertainty_keV,Half_Life,Spin_Parity,Year,Decay_Modes,Mass_Number,Isomer
0,n,neutron,8071.3181,0.0004,,,1932.0,β−=100,1,
1,H,Hydrogen,7288.9710,0.0001,STABLE,,1920.0,IS=99.985578,1,
1,H,Hydrogen,13135.7229,0.0001,STABLE,,3.0,IS=0.014578,2,
1,H,Hydrogen,14949.8109,0.0001,,,0.0,β−=100,3,
1,H,Hydrogen,24620,100,,,100.0,n=100,4,
1,H,Hydrogen,32890,90,,,90.0,2n=100,5,
1,H,Hydrogen,41880,250,,,250.0,,6,
1,H,Hydrogen,49140#,1000#,,,652.0,,7,
2,He,Helium,14931.2188,0.0001,STABLE,,98.0,IS=0.00022,3,
2,He,Helium,2424.9158,0.0001,STABLE,0+,98.0,IS=99.99982,4,
2,He,Helium,11231,20,,,20.0,n=100,5,
2,He,Helium,17592.10,0.05,806.92ms0.24,0+,1936.0,β−=100;β−d=0.00027818,6,
2,He,Helium,26073,8,,,1967.0,n=100,7,
2,He,Helium,31609.68,0.09,119.5ms1.5,0+,1965.0,β−=100;β−n=161;,8,
2,He,Helium,40940,50,,,50.0,n=100,9,
2,He,Helium,49200,90,,0+,90.0,2n=100,10,
3,Li,Lithium,28670#,2000#,p-unstable,,98.0,,3,i
3,Li,Lithium,25320,210,,,210.0,p=100,4,i
3,Li,Lithium,11680,50,,,50.0,p=100,5,i
3,Li,Lithium,14086.8804,0.0014,STABLE,,2.0,IS=4.85171,6,i
3,Li,Lithium,17649.76,0.10,,,56.0,IT=100,6,i
3,Li,Lithium,14907.105,0.004,STABLE,,3.0,IS=95.15171,7,i
3,Li,Lithium,26150,30,,,30.0,,7,i
3,Li,Lithium,20945.80,0.05,838.7ms0.3,2+,1935.0,β−=100;β−α=100,8,i
3,Li,Lithium,31768,5,,,5.0,,8,i
3,Li,Lithium,24954.91,0.19,178.2ms0.4,,1951.0,β−=100;β−n=50.510,9,i
3,Li,Lithium,33053,13,,,13.0,n=100,10,i
3,Li,Lithium,33250,40,,1+,40.0,IT=100,10,m
3,Li,Lithium,33530,40,,,40.0,IT=100,10,n
3,Li,Lithium,40728.3,0.6,8.75ms0.06,,1966.0,β−=100;β−n=86.39;,11,i
3,Li,Lithium,49010,30,,,30.0,,12,i
3,Li,Lithium,56980,70,,,70.0,2n=100,13,i
4,Be,Beryllium,37140#,2000#,p-unstable,,18.0,,5,
4,Be,Beryllium,18375,5,,0+,2.0,2p=100,6,
4,Be,Beryllium,15769.00,0.07,,,3.0,ε=100,7,
4,Be,Beryllium,26750,30,,,30.0,,7,i
4,Be,Beryllium,4941.67,0.04,,0+,5.0,α=100,8,
4,Be,Beryllium,21568,3,,,2004.0,,8,i
4,Be,Beryllium,11348.45,0.08,STABLE,,6.0,IS=100,9,
4,Be,Beryllium,25738.8,1.7,,,6.0,,9,i
4,Be,Beryllium,12607.49,0.08,1.387My0.012,0+,1935.0,β−=100,10,
4,Be,Beryllium,33787,21,,,21.0,,10,i
4,Be,Beryllium,20177.17,0.24,,,1958.0,β−=100;β−α=3.31;,11,
4,Be,Beryllium,41336,20,,,20.0,,11,i
4,Be,Beryllium,25077.8,1.9,21.46ms0.05,0+,17.0,β−=100;β−n=0.503,12,
4,Be,Beryllium,27328.8,2.1,,0+,2251.0,IT=100,12,m
4,Be,Beryllium,33659,10,,,10.0,,13,
4,Be,Beryllium,35160,50,,,50.0,,13,p
4,Be,Beryllium,39950,130,4.53ms0.27,0+,130.0,β−=100;β−n=866;β−2n=52;,14,
4,Be,Beryllium,41470,60,,,60.0,,14,p
4,Be,Beryllium,49830,170,,,170.0,n=100,15,
4,Be,Beryllium,57450,170,,0+,170.0,2n=100,16,
5,B,Boron,47320#,2000#,p-unstable,,,,6,
5,B,Boron,27677,25,,,25.0,p=100,7,
5,B,Boron,22921.6,1.0,771.9ms0.9,2+,1950.0,β+=100;β+α=100,8,
5,B,Boron,12416.5,0.9,,,800.0,p=100,9,
5,B,Boron,12050.611,0.015,STABLE,,7.0,IS=19.6544,10,
5,B,Boron,8667.708,0.012,STABLE,,12.0,IS=80.3544,11,
5,Bj,Boron,42230,80,,,80.0,,11,
5,B,Boron,13369.4,1.3,20.20ms0.02,,17.0,β−=100;β−α=0.602,12,
5,B,Boron,16561.9,1.0,17.16ms0.18,,1956.0,β−=100;β−n=0.26636,13,
5,B,Boron,23664,21,12.36ms0.29,,21.0,β−=100;β−n=6.0423;,14,
5,B,Boron,28957,21,10.18ms0.35,,21.0,β−=100;β−n=98.710;,15,
5,B,Boron,37112,25,,,25.0,,16,
5,B,Boron,43720,200,5.08ms0.05,,200.0,β−=100;β−n=631;,17,
5,B,Boron,51790,200,<26ns,,200.0,n=100,18,
5,B,Boron,59770,530,2.92ms0.13,,530.0,β−=100;β−n=719;,19,
5,B,Boron,69400,550,,,550.0,n=100;β−n?;β−2n?,20,
5,B,Boron,78380,560,,,560.0,2n=100,21,
6,C,Carbon,35064,18,,0+,18.0,2p=100,8,
6,C,Carbon,28911.0,2.1,126.5ms0.9,,1964.0,β+=100;β+p=7.56;,9,
6,C,Carbon,15698.67,0.07,,0+,1949.0,β+=100,10,
6,C,Carbon,10649.40,0.06,,,1934.0,β+=100,11,
6,Ci,Carbon,22810,40,,,40.0,p=?,11,i
6,C,Carbon,0.0,0.0,STABLE,0+,17.0,IS=98.946,12,
6,Cj,Carbon,27595.0,2.4,,,17.0,,12,
6,Ci,Carbon,15108,3,,,17.0,IT=?;α?,12,i
6,C,Carbon,3125.0093,0.0002,STABLE,,1.0,IS=1.066,13,
6,Ci,Carbon,18233.8,1.1,,,0.0,IT=0.827;n?;α?,13,i
6,C,Carbon,3019.893,0.004,,0+,1.0,β−=100,14,
6,Ci,Carbon,25120,100,,,100.0,IT=100,14,i
6,C,Carbon,9873.1,0.8,,1/2+,2.0,β−=100,15,
6,C,Carbon,13694,4,750ms6,0+,99.0,β−=100;β−n=99.03,16,
6,C,Carbon,21032,17,193ms6,3/2+,17.0,β−=100;β−n=28.413;,17,
6,C,Carbon,24920,30,92ms2,0+,30.0,β−=100;β−n=31.515;,18,
6,C,Carbon,32410,100,46.2ms2.3,1/2+,100.0,β−=100;β−n=473;β−2n=73,19,
