Nuclide,Mass_Excess_keV,Mass_Uncertainty_keV,Half_Life,Spin_Parity,Year,Decay_Modes,Mass_Number,Element,Isomer
1n,8071.3181,0.0004,,,1932.0,β−=100,1,n,
1H,7288.9710,0.0001,STABLE,,1920.0,IS=99.985578,1,H,
2H,13135.7229,0.0001,STABLE,,3.0,IS=0.014578,2,H,
3H,14949.8109,0.0001,,,0.0,β−=100,3,H,
3He,14931.2188,0.0001,STABLE,,98.0,IS=0.00022,3,He,
3Li,28670#,2000#,p-unstable,,98.0,,3,Li,i
4H,24620,100,,,100.0,n=100,4,H,
4He,2424.9158,0.0001,STABLE,0+,98.0,IS=99.99982,4,He,
4Li,25320,210,,,210.0,p=100,4,Li,i
5Be,37140#,2000#,p-unstable,,18.0,,5,Be,
5H,32890,90,,,90.0,2n=100,5,H,
5He,11231,20,,,20.0,n=100,5,He,
5Li,11680,50,,,50.0,p=100,5,Li,i
6B,47320#,2000#,p-unstable,,,,6,B,
6Be,18375,5,,0+,2.0,2p=100,6,Be,
6H,41880,250,,,250.0,,6,H,
6He,17592.10,0.05,806.92ms0.24,0+,1936.0,β−=100;β−d=0.00027818,6,He,
6Li,14086.8804,0.0014,STABLE,,2.0,IS=4.85171,6,Li,i
6Lii,17649.76,0.10,,,56.0,IT=100,6,Li,i
7B,27677,25,,,25.0,p=100,7,B,
7Bei,26750,30,,,30.0,,7,Be,i
7Be,15769.00,0.07,,,3.0,ε=100,7,Be,
7H,49140#,1000#,,,652.0,,7,H,
7He,26073,8,,,1967.0,n=100,7,He,
7Li,14907.105,0.004,STABLE,,3.0,IS=95.15171,7,Li,i
7Lii,26150,30,,,30.0,,7,Li,i
8B,22921.6,1.0,771.9ms0.9,2+,1950.0,β+=100;β+α=100,8,B,
8Bei,21568,3,,,2004.0,,8,Be,i
8Be,4941.67,0.04,,0+,5.0,α=100,8,Be,
8Bi,33546,8,,,5.0,,8,Bi,i
8C,35064,18,,0+,18.0,2p=100,8,C,
8He,31609.68,0.09,119.5ms1.5,0+,1965.0,β−=100;β−n=161;,8,He,
8Li,20945.80,0.05,838.7ms0.3,2+,1935.0,β−=100;β−α=100,8,Li,i
8Lii,31768,5,,,5.0,,8,Li,i
9B,12416.5,0.9,,,800.0,p=100,9,B,
9Bei,25738.8,1.7,,,6.0,,9,Be,i
9Be,11348.45,0.08,STABLE,,6.0,IS=100,9,Be,
9Bi,27071.0,2.3,,,6.0,,9,Bi,i
9C,28911.0,2.1,126.5ms0.9,,1964.0,β+=100;β+p=7.56;,9,C,
9He,40940,50,,,50.0,n=100,9,He,
9Li,24954.91,0.19,178.2ms0.4,,1951.0,β−=100;β−n=50.510,9,Li,i
10B,12050.611,0.015,STABLE,,7.0,IS=19.6544,10,B,
10Bei,33787,21,,,21.0,,10,Be,i
10Be,12607.49,0.08,1.387My0.012,0+,1935.0,β−=100,10,Be,
10Bi,13790.66,0.04,,,7.0,IT=100,10,Bi,i
10C,15698.67,0.07,,0+,1949.0,β+=100,10,C,
10He,49200,90,,0+,90.0,2n=100,10,He,
10Li,33053,13,,,13.0,n=100,10,Li,i
10Lim,33250,40,,1+,40.0,IT=100,10,Li,m
10Lin,33530,40,,,40.0,IT=100,10,Li,n
10N,38800,400,,,400.0,,10,N,
11B,8667.708,0.012,STABLE,,12.0,IS=80.3544,11,B,
11Bei,41336,20,,,20.0,,11,Be,i
11Be,20177.17,0.24,,,1958.0,β−=100;β−α=3.31;,11,Be,
11Bi,21228,9,,,12.0,,11,Bi,i
11Bj,42230,80,,,80.0,,11,Bj,
11C,10649.40,0.06,,,1934.0,β+=100,11,C,
11Ci,22810,40,,,40.0,p=?,11,Ci,i
11Li,40728.3,0.6,8.75ms0.06,,1966.0,β−=100;β−n=86.39;,11,Li,i
11N,24366,5,,1/2+,585.0,p=100,11,N,
11Nm,25110,60,,,60.0,p=100,11,Nm,m
11O,47740,60,,,60.0,2p=100,11,O,
12B,13369.4,1.3,20.20ms0.02,,17.0,β−=100;β−α=0.602,12,B,
12Bem,27328.8,2.1,,0+,2251.0,IT=100,12,Be,m
12Be,25077.8,1.9,21.46ms0.05,0+,17.0,β−=100;β−n=0.503,12,Be,
12Bi,26088,19,,,19.0,,12,Bi,i
